發生地點,經度,緯度
屏東縣萬巒鄉鹿寮村三多路1-8號前0.0公尺附近,120.560111,22.567105
臺中市霧峰區西柳橋頭,120.680001,24.070698
南投縣仁愛鄉台8線 111公里100.0公尺處北側向外側,121.303376,24.191833
臺中市梧棲區福德里港埠路二段 / 臺中市梧棲區福德里中興路,120.536745,24.252353
新北市新莊區新北市新莊區中正路1號與中正路,121.465555,25.041909
雲林縣大埤鄉157線330464號燈處,120.416580,23.634047
臺南市玉井區台20線 28公里800.0公尺處西側向外側,120.423783,23.071161
苗栗縣南庄鄉台三線98.8公里處,120.957925,24.600989
臺中市龍井區竹坑里中華路1段前0.0公尺,120.543028,24.171578
嘉義縣布袋鎮東港里172線與村里道路路口,120.186905,23.373336
宜蘭縣冬山鄉鹿埔路東側 / 宜蘭縣冬山鄉鹿梅路東側,121.745872,24.656693
宜蘭縣三星鄉上將路2段190號附近,121.733743,24.696659
南投縣埔里鎮中正路129-10號,120.978169,23.946037
新北市五股區新北市五股區中興路3段與新五路2段,121.441968,25.081495
桃園市龍潭區龍新路三和段1689巷1號前0.0公尺,121.162304,24.845509
新北市淡水區新北市淡水區中正東路1段105巷與中正東路1段,121.453435,25.161918
臺中市大里區永隆里東榮路 / 臺中市大里區永隆里永隆路,120.676629,24.109353
屏東縣竹田鄉龍門路242號前0.0公尺附近,120.523701,22.625022
臺北市士林區大東路90-2號前0.0公尺,121.525558,25.091478
彰化縣花壇鄉崙雅村花秀路 / 彰化縣花壇鄉崙雅村花秀路,120.525469,24.032475
宜蘭縣五結鄉噶瑪蘭橋018號路燈附近,121.820238,24.712110
新北市板橋區新北市板橋區篤行路3段與玉平巷76弄,121.427843,24.985126
臺南市善化區南科七路與三抱竹路路口,120.268809,23.107662
臺東縣卑南鄉太平路口 / 臺東縣卑南鄉太平路口,121.081728,22.786144
嘉義縣溪口鄉游東村游厝庄嘉176線0.5公里處(電桿興安19南10A),120.396445,23.624008
高雄市彌陀區樂安路 / 高雄市彌陀區樂安路廟巷段,120.243525,22.767126
桃園市八德區福德一路附近 / 桃園市八德區和成路附近,121.322960,24.960730
苗栗縣通霄鎮台1線 124公里500.0公尺處南側,120.710727,24.565747
宜蘭縣羅東鎮仁愛路3段口 / 宜蘭縣羅東鎮復興路3段口,121.762810,24.699133
臺中市梧棲區橋柱P353前,120.526622,24.227253
臺中市沙鹿區沙鹿交流道機車道(匝道旁),120.592521,24.250328
臺中市北屯區陳平里中平路 / 臺中市北屯區陳平里敦化路二段,120.663479,24.185442
屏東縣竹田鄉光明路4之5號,120.529530,22.620011
臺北市中山區復興北路 / 臺北市中山區民生東路3段,121.544018,25.057853
臺南市東區東門路2段411號,120.229231,22.981324
彰化縣員林市東北里山腳路6段337號前0.0公尺前,120.591547,23.979805
屏東縣屏東市建國路382-2號前0.0公尺附近,120.467524,22.658249
新北市泰山區新北市泰山區民權街31號與民權街,121.428966,25.050740
彰化縣大村鄉村上村中正東路153-1號前0.0公尺西側,120.568079,23.989428
臺南市仁德區太子里太子路與土庫路口,120.257223,22.991556
高雄市林園區中門路333號前0.0公尺前,120.366022,22.508725
高雄市梓官區公館路石潭橋號前0.0公尺,120.273947,22.771166
屏東縣萬丹鄉水仙村大仁路199巷與大仁路(往西10公尺處),120.486166,22.549821
臺南市中西區民生路2段西側 / 臺南市中西區康樂街南側,120.195274,22.995693
臺南市東山區聖賢里區道南314線北勢寮91之2號前0.0公尺西側,120.361292,23.309723
彰化縣彰化市下廍里自強路352號前0.0公尺前,120.547814,24.091097
臺南市新營區嘉芳里新運五路(近新運二路口),120.281829,23.310689
苗栗縣銅鑼鄉國道1號 138公里700.0公尺處北側向外側,120.782498,24.483412
彰化縣社頭鄉橋頭村員集路3段263號前0.0公尺前,120.581711,23.912492
彰化縣和美鎮月眉里和港路307號前0.0公尺,120.490688,24.127287
臺中市大甲區德化里東西五路一段 / 臺中市大甲區德化里南北三路,120.626766,24.374901
臺中市大里區西湖里草堤路229號前0.0公尺,120.672991,24.081261
彰化縣福興鄉外中村番花路1段前0.0公尺,120.480364,24.017853
苗栗縣南庄鄉苗124乙線4.3公里處,120.999098,24.634867
臺中市北屯區平和里文心路四段123號前0.0公尺,120.675193,24.173921
宜蘭縣三星鄉台7甲線 6公里100.0公尺處東側向內側,121.507641,24.592609
高雄市田寮區西德路 / 高雄市田寮區西德路,120.385789,22.880606
高雄市大社區和平路1段118號前0.0公尺,120.301520,22.627160
臺東縣卑南鄉明峰村牧場60號,121.112814,22.867121
花蓮縣鳳林鎮花東公路口 / 花蓮縣鳳林鎮長橋路口,121.419328,23.707251
屏東縣恆春鎮恆春鎮恆東路與恆南路4巷路口,120.750790,22.004285
臺中市西屯區上安里上安路86號前0.0公尺,120.640339,24.170972
臺中市神岡區國道1號 168公里600.0公尺處北側向減速車道,120.689807,24.244319
臺南市歸仁區八甲里文化街一段口 / 臺南市歸仁區八甲里大仁街,120.300670,22.971547
臺北市萬華區東園街 / 臺北市萬華區東園街,121.497925,25.022701
臺中市大肚區頂街里自由路 / 臺中市大肚區頂街里華山路,120.547745,24.155704
雲林縣西螺鎮河南里社口路埔心17號電桿處,120.442779,23.792713
新竹縣芎林鄉富林路口 / 新竹縣芎林鄉竹林路口,121.096835,24.750009
高雄市鳥松區中正路 / 高雄市鳥松區大同路,120.371218,22.653973
高雄市湖內區中山路2段154號前0.0公尺前,120.228300,22.907570
臺南市下營區後街里中正北路北側 / 臺南市下營區後街里人和二街西側,120.261664,23.237488
桃園市楊梅區高上里高上路1段67之1號前0.0公尺,121.162883,24.937458
臺中市大甲區龍泉里中山路二段930-1號前0.0公尺,120.641973,24.401343
臺中市大肚區王田里沙田路1段108號前0.0公尺,120.576768,24.118855
臺東縣卑南鄉和平路東側 / 臺東縣卑南鄉和平路北側,121.091829,22.787285
花蓮縣秀林鄉和平村和平路83之1號前0.0公尺,121.747784,24.308947
新竹縣尖石鄉嘉樂村3鄰嘉樂路179-6號前0.0公尺附近,121.211806,24.705057
臺中市東區近東英六街,120.710303,24.139932
臺南市善化區南關里三民路口 / 臺南市善化區南關里永安路口,120.287805,23.129519
新北市板橋區新北市板橋區堤外機車專用道路與堤外機車專用道路(浮洲橫移門),121.469820,25.036062
臺南市歸仁區中正北路2段124號南側,120.293608,22.981622
彰化縣伸港鄉溪底村濱海路 / 彰化縣伸港鄉溪底村工五路,120.514398,24.167575
新北市中和區新北市中和區中正路64巷,121.501224,24.993962
新北市三峽區新北市三峽區介壽路3段115號,121.399058,24.942261
雲林縣褒忠鄉田洋村田洋80電桿前,120.309368,23.721012
桃園市中壢區中山東路3段106號前0.0公尺附近,121.248138,24.944359
新竹縣竹東鎮中興路一段270號前,121.069543,24.756867
桃園市中壢區培英路口 / 桃園市中壢區育英路口,121.224837,24.973751
臺中市龍井區龍泉里沙田路5段315巷前0.0公尺,120.543621,24.202581
桃園市大園區中山南路2段379號前0.0公尺,121.213342,25.026811
雲林縣北港鎮樹腳里大同路(路燈編號112625前),120.276445,23.579726
高雄市岡山區介壽西路前 / 高雄市岡山區通校路,120.281357,22.784276
桃園市新屋區聚賢路205號前0.0公尺,121.029669,24.994300
宜蘭縣礁溪鄉玉龍路二段87號前,121.787872,24.802050
高雄市岡山區嘉峰路 / 高雄市岡山區嘉峰路,120.311936,22.827783
新北市五股區新北市五股區中興路3段192號旁,121.443922,25.082755
新北市板橋區新北市板橋區環河西路4段000720號燈桿,121.485541,25.022253
高雄市鼓山區九如四路 / 高雄市鼓山區內惟路,120.283627,22.667691
臺南市中西區健康路1段10號,120.211739,22.981246
新竹市香山區延平路二段45巷口,120.942658,24.805041
桃園市中壢區中觀路二段(井厝幹28之30電桿)旁,121.163246,24.981192
臺南市安定區安加里區道南132線口 / 臺南市安定區安加里市道178線口,120.235299,23.115109
屏東縣崁頂鄉平和南路與龍港路口,120.474956,22.501589
桃園市大園區聖德北路538號前0.0公尺,121.194297,25.039071
新北市新莊區新北市新莊區福慧路與新知六路,121.458355,25.062229
苗栗縣西湖鄉119線8.5公里處,120.750040,24.545616
臺南市龍崎區182線往東22.7K附近,120.383248,22.948791
宜蘭縣員山鄉八甲路12-1號前0.0公尺,121.706298,24.723773
桃園市新屋區東明路110號旁產業道路,121.083728,24.975719
臺東縣達仁鄉台9戊線10.8K北上路肩,120.841546,22.252594
臺南市佳里區鎮山里佳南路口 / 臺南市佳里區鎮山里勝利路口,120.180075,23.148626
澎湖縣馬公市縣202線 4公里200.0公尺處北側向外側,119.631988,23.583061
雲林縣口湖鄉湖口村台17線道路北上107公里附近,120.173944,23.552485
屏東縣鹽埔鄉新埔路839號前0.0公尺,120.564391,22.753349
宜蘭縣宜蘭市東港橋上宜市路燈桿6265號前,121.758758,24.758010
桃園市桃園區三民路2段口 / 桃園市桃園區民生路,121.310445,24.999649
宜蘭縣三星鄉上將路七段與雙和一路口,121.644155,24.677092
臺中市西區中興里公益路 / 臺中市西區中興里美村路,120.661669,24.150855
臺東縣東河鄉台11線 126公里400.0公尺處附近,121.344379,23.059007
彰化縣大村鄉黃厝村美港路415號前0.0公尺前,120.582267,23.984253
雲林縣四湖鄉林厝村文化路20巷,120.193566,23.637083
桃園市楊梅區中山北路1段16號前0.0公尺,121.149606,24.907525
臺東縣大武鄉台9線 408公里700.0公尺處北側向外側,120.938144,22.440477
臺南市仁德區後壁里中正路二段附近 / 臺南市仁德區後壁里德洋路附近,120.251436,22.950224
基隆市安樂區安樂路二段145號前0.0公尺,121.724197,25.121314
臺北市大安區仁愛路4段 / 臺北市大安區復興南路1段,121.543741,25.038088
高雄市左營區大中二路 / 高雄市左營區博愛三路,120.310175,22.681073
苗栗縣苗栗市上苗里為公路口 / 苗栗縣苗栗市上苗里中正路口,120.824529,24.569970
屏東縣里港鄉載興村載南路40號前0.0公尺,120.529878,22.779269
臺南市新化區台20線 17.1公里,120.342676,23.066532
新北市鶯歌區新北市鶯歌區環河路32號,121.351623,24.944680
屏東縣屏東市潭墘里環河路前0.0公尺,120.446722,22.664956
桃園市楊梅區國道1號 68公里900.0公尺處南側向外側,121.126577,24.893840
新北市淡水區新北市淡水區中正東路2段115號,121.459521,25.150497
屏東縣內埔鄉豐田村建國路26號前0.0公尺附近,120.545835,22.643792
臺南市柳營區台1線 294公里200.0公尺處北側向機、慢車道,120.325274,23.275668
桃園市平鎮區快速路一段大溪往觀音編號P239橋墩旁,121.229597,24.908701
新竹縣關西鎮新力里竹21線1.5K處,121.132915,24.798812
苗栗縣公館鄉五谷村台6線與苗26線口,120.818764,24.528990
屏東縣屏東市棒球路口 / 屏東縣屏東市復興路.口,120.486907,22.657715
高雄市楠梓區右昌街110號前0.0公尺前,120.290696,22.709985
新北市泰山區新北市泰山區泰林路1段15號,121.440067,25.049859
新北市蘆洲區新北市蘆洲區2號越堤道與2號越堤道,121.473062,25.079465
苗栗縣三灣鄉台三線103.6公里處,120.955819,24.614288
臺中市西屯區西平北巷林厝公園入口處(西平北巷R17燈桿附近),120.623920,24.205091
新北市淡水區新北市淡水區淡金路2段與北新路,121.446047,25.193459
基隆市信義區基隆市信義區壽山路路段上,121.758280,25.133091
屏東縣枋山鄉台1線 457公里800.0公尺處北側向路肩,120.652989,22.261031
彰化縣二林鎮後厝里新華巷前0.0公尺,120.395753,23.904944
臺南市西港區南41線3.6公里處南下一般車道,120.180324,23.116953
臺東縣東河鄉台11線 147公里東側向內側,121.210765,22.865030
新竹縣竹北市國道1號 91公里500.0公尺處北側向外側,121.021903,24.833369
雲林縣西螺鎮大園里光復東路108號前,120.475290,23.797479
新北市土城區新北市土城區中央路2段與員福街,121.442174,24.978288
新竹市東區研新一路與研新四路,120.986875,24.777785
苗栗縣苗栗市國華路1212號前,120.813420,24.561377
苗栗縣竹南鎮苗3線電線桿(尖筆幹86AD8671BB36)附近,120.898904,24.726329
彰化縣北斗鎮中寮里斗苑路2段 / 彰化縣北斗鎮中寮里光前路,120.504903,23.880126
雲林縣元長鄉雲169鄉道與中山路9巷路口,120.306344,23.647980
高雄市路竹區順安路 / 高雄市路竹區無名路,120.238900,22.838020
嘉義縣朴子市竹村里台19線87.2公里與產業道路口,120.246290,23.436257
臺南市新市區國道8號 9公里400.0公尺處西側向交流道,120.277306,23.065320
宜蘭縣員山鄉內城村員山路2段東側 / 宜蘭縣員山鄉內城村惠民路北側,121.709024,24.722923
新北市五股區新北市五股區疏洪一路與疏洪六路,121.458371,25.075385
彰化縣秀水鄉鶴鳴村馬鳴路 / 彰化縣秀水鄉鶴鳴村彰鹿路,120.503701,24.059030
臺北市北投區福國路前0.0公尺,121.522520,25.102945
屏東縣萬丹鄉廣安村萬丹路2段口 / 屏東縣萬丹鄉廣安村廣維路口,120.487496,22.606213
苗栗縣竹南鎮台61線 93.6公里南側向機、慢車道,120.867431,24.704208
新北市三芝區新北市三芝區淡金公路(四棧橋39-1號),121.502434,25.259345
苗栗縣苑裡鎮東西七路與南北二路路口,120.640096,24.433150
新北市泰山區新北市泰山區大科路686之2號,121.389780,25.065670
臺中市和平區達觀里東崎街1段前0.0公尺,120.924441,24.306601
新北市樹林區新北市樹林區大安路與長壽街,121.426237,25.002193
花蓮縣花蓮市中正路與新興路口以北70公尺處外側路沿,121.614021,23.982046
新竹縣芎林鄉富林路一段與五和街口附近,121.119956,24.736322
高雄市大寮區國華街 / 高雄市大寮區無名路,120.399011,22.625047
南投縣埔里鎮中山路四段62號前,120.938357,23.965194
新北市樹林區新北市樹林區三俊街與俊興街,121.419688,25.016484
嘉義縣民雄鄉秀林村溪底寮82號前,120.464806,23.506232
臺南市仁德區大發路58號前0.0公尺,120.251336,22.984211
臺南市安南區台江大道2段201號,120.207324,23.057420
花蓮縣吉安鄉慶豐四街口 / 花蓮縣吉安鄉慶南三街口,121.570830,23.975420
雲林縣斗南鎮延平路二段與莒光街口,120.475931,23.670112
苗栗縣苑裡鎮舊社里苗130線與德行路口,120.680642,24.419439
臺北市士林區中山北路5段前0.0公尺,121.526360,25.087075
高雄市楠梓區德民路 / 高雄市楠梓區德民路,120.298872,22.723846
苗栗縣竹南鎮台61線93.7公里處北上慢車道,120.842473,24.676225
臺南市麻豆區南勢里南勢87之2號,120.272123,23.189311
臺北市士林區承德路4段277巷前0.0公尺,121.519832,25.089617
臺中市沙鹿區鹿峰里中清路七段北側 / 臺中市沙鹿區鹿峰里三民路,120.575650,24.251770
屏東縣崁頂鄉港東2號橋往南防汛道路旁水溝(台電電桿后廍90R41L9T3182EA20),120.478403,22.516677
嘉義縣中埔鄉富收村富裕路128號前0.0公尺附近,120.481528,23.447948
高雄市岡山區成功路 / 高雄市岡山區成功路,120.300574,22.810926
嘉義縣義竹鄉溪州村台19線91.45公里,120.245420,23.398974
嘉義縣大林鎮國道1號 251公里500.0公尺處北側向內側,120.432739,23.591355
臺南市玉井區台3線 371公里500.0公尺處西側向外側,120.477655,23.135629
新竹縣湖口鄉國道1號 84公里700.0公尺處北側向外側,121.064183,24.876976
桃園市八德區廣興路641號前0.0公尺附近,121.283737,24.946916
臺南市佳里區南47 2公里500.0公尺處,120.210043,23.173928
彰化縣秀水鄉金興村番花路 / 彰化縣秀水鄉金興村正興路,120.524454,24.014461
雲林縣北港鎮好收里雲162公路與產業道路口,120.288198,23.595787
雲林縣東勢鄉四美村四美,120.247094,23.726362
雲林縣二崙鄉定安村田寮(田寮28東17K2463FB32電桿),120.406220,23.815579
彰化縣鹿港鎮洋厝里鹿草路3段 / 彰化縣鹿港鎮洋厝里新厝巷,120.447937,24.090128
宜蘭縣頭城鎮吉祥路142號前0.0公尺北側,121.817545,24.859386
新北市板橋區新北市板橋區民生路3段40號,121.467479,25.024923
高雄市岡山區大仁北路 / 高雄市岡山區大仁北路,120.302375,22.792739
臺中市豐原區翁子里豐勢路2段245巷前0.0公尺,120.741628,24.263455
新北市板橋區新北市板橋區長江路1段105巷與環河西路,121.459465,25.029749
桃園市觀音區工業七路10號前0.0公尺,121.106436,25.052765
臺北市萬華區大理街 / 臺北市萬華區雙園街,121.493091,25.032270
臺南市將軍區忠嘉里南21線3.5公里,120.155169,23.201761
高雄市前鎮區中山四路 / 高雄市前鎮區凱旋四路,120.315436,22.596791
臺南市仁德區保安里文賢路2段45號,120.238128,22.920915
桃園市中壢區圓光路2段口 / 桃園市中壢區大莊路,121.172724,25.007968
新北市鶯歌區新北市鶯歌區堤外道路1K+000,121.350000,24.950000
花蓮縣豐濱鄉台11線 47公里200.0公尺處東側向外側,121.529255,23.617886
南投縣鹿谷鄉股聲巷9號附近,120.782616,23.720794
臺南市仁德區中洲路陸橋國道一號上方,120.263852,22.909759
臺南市永康區王行路1102-10號,120.274093,23.052105
彰化縣彰化市國道1號 195公里500.0公尺處南側向內側,120.553436,24.099005
新竹縣竹北市莊敬南路口 / 新竹縣竹北市成功十街,121.020040,24.816348
高雄市林園區石化三路9號前0.0公尺,120.405849,22.487654
花蓮縣壽豐鄉中山路6段170號,121.512510,23.875915
高雄市仁武區國道10號 4公里300.0公尺處東側向外側,120.351552,22.685030
臺北市萬華區萬板大橋往台北市前0.0公尺,121.491043,25.029496
高雄市阿蓮區中正路 / 高雄市阿蓮區中正路,120.333100,22.880690
高雄市楠梓區德中路 / 高雄市楠梓區大學二十九路,120.277277,22.723132
臺南市關廟區五甲里南雄路1段附近 / 臺南市關廟區五甲里南雄路1段口,120.333128,22.945183
南投縣集集鎮投54 3公里500.0公尺處,120.758129,23.830873
彰化縣鹿港鎮洋厝里新厝巷前0.0公尺,120.454415,24.086760
彰化縣和美鎮月眉里和港路552號前0.0公尺,120.489818,24.131780
屏東縣東港鎮興和里和東路27號前0.0公尺,120.480905,22.485999
屏東縣竹田鄉東西七路與過溝二路,120.515782,22.615991
彰化縣芬園鄉舊社村大彰路5段前0.0公尺,120.595087,24.028328
臺中市大雅區員林里神林路一段520巷前0.0公尺,120.661814,24.244196
嘉義縣六腳鄉蘇厝村縣道145線47.5公里與蘇厝村無名道路口,120.296300,23.555674
臺南市學甲區新榮里華宗路210號前0.0公尺,120.183495,23.225389
臺中市南區崇倫里崇倫街 / 臺中市南區崇倫里西川一路,120.655996,24.127821
高雄市三民區九如三路 / 高雄市三民區中庸街,120.285336,22.643770
高雄市田寮區國道3號 371公里100.0公尺處南側向外側,120.381735,22.851159
高雄市路竹區中山路226之1號前0.0公尺,120.259500,22.855590
新北市泰山區新北市泰山區大科路350002燈桿處,121.398532,25.058785
高雄市大社區中山路 / 高雄市大社區金龍路,120.353701,22.731153
花蓮縣瑞穗鄉台9線 251公里200.0公尺處南側,121.377562,23.534391
屏東縣屏東市和生路2段186號前0.0公尺,120.480580,22.652803
南投縣仁愛鄉投71 17公里20.0公尺處附近,121.047116,23.914570
宜蘭縣礁溪鄉匏杓崙路132號前0.0公尺,121.713216,24.808378
桃園市中壢區普仁里中山東路1段口 / 桃園市中壢區普仁里甘肅二街口,121.235279,24.955487
臺南市新營區嘉芳里復興路東側 / 臺南市新營區嘉芳街,120.285313,23.309081
屏東縣內埔鄉東寧村德光巷(路燈編號912-02209),120.561492,22.614317
桃園市楊梅區老莊路800號前0.0公尺,121.165369,24.881085
高雄市阿蓮區玉庫里無名路玉庫282電桿號前0.0公尺,120.310300,22.850110
彰化縣大城鄉山腳村鐵樹巷前0.0公尺,120.318026,23.840901
嘉義市西區北新里世賢路1段420號前0.0公尺,120.454930,23.481443
屏東縣枋山鄉台9線 451公里500.0公尺處南側向內側,120.702129,22.206985
彰化縣福興鄉秀厝村南環路3段前500.0公尺西側,120.425372,24.035457
臺北市中正區汀州路1段136號前0.0公尺,121.508073,25.029433
臺北市萬華區和平西路3段 / 臺北市萬華區廣州街,121.496965,25.036721
新竹市東區東大路橋往食品匝道口,120.977131,24.803769
雲林縣斗南鎮建國一路南側 / 雲林縣斗南鎮文化街東側,120.478224,23.683628
臺中市大安區中庄里中松路85號前0.0公尺,120.588791,24.348886
嘉義縣鹿草鄉施家村163線21公里900公尺處,120.300878,23.396990
桃園市大園區海港路口 / 桃園市大園區產業道路,121.231895,25.107666
屏東縣枋山鄉台1線451.5KM,120.651820,22.270348
桃園市觀音區二聖路口 / 桃園市觀音區六合街,121.138048,25.039155
高雄市林園區潭頭路226號前0.0公尺,120.396907,22.525924
彰化縣和美鎮嘉寶里嘉卿路1段390號前0.0公尺,120.518783,24.137150
臺南市善化區牛庄里區道南127-1線前0.0公尺,120.316002,23.148073
雲林縣北港鎮台19線往南,120.306717,23.608855
澎湖縣西嶼鄉縣203線 31公里400.0公尺處北側向外側,119.506271,23.587352
臺南市東區崇善路與崇善二街口,120.227854,22.977174
高雄市林園區中芸三路300號前0.0公尺,120.398532,22.494401
高雄市美濃區中正路2段543號前0.0公尺,120.536200,22.873650
彰化縣鹿港鎮海埔里鹿工路 / 彰化縣鹿港鎮海埔里鹿工北二路,120.412847,24.077578
新竹縣峨眉鄉台3線89.5公里,121.012094,24.691701
苗栗縣苑裡鎮苗140線與田心5路口,120.656476,24.415549
雲林縣水林鄉水南村產業道路蔦松40號電桿旁,120.227571,23.518240
宜蘭縣五結鄉國道5號 45公里100.0公尺處南側向外側,121.790787,24.700426
